TableName,FieldName,Position
APPLICATION,APPLICATION_ID,1
APPLICATION_COMPONENT,APPLICATION_ID,1
APPLICATION_COMPONENT,COMPONENT_OBS_NO,2
APPLIC_ALIAS,APPLICATION_ID,1
APPLIC_ALIAS,ALIAS_ID,2
APPLIC_AREA,APPLICATION_ID,1
APPLIC_AREA,AREA_ID,2
APPLIC_AREA,AREA_TYPE,3
APPLIC_ATTACH,APPLICATION_ID,1
APPLIC_ATTACH,ATTACHMENT_ID,2
APPLIC_BA,APPLICATION_ID,1
APPLIC_BA,APPLICATION_BA_ID,2
APPLIC_BA,APPLICATION_BA_OBS_NO,3
APPLIC_DESC,APPLICATION_ID,1
APPLIC_DESC,DESCRIPTION_ID,2
APPLIC_REMARK,APPLICATION_ID,1
APPLIC_REMARK,REMARK_ID,2
AREA,AREA_ID,1
AREA,AREA_TYPE,2
AREA_ALIAS,AREA_ID,1
AREA_ALIAS,AREA_TYPE,2
AREA_ALIAS,AREA_ALIAS_ID,3
AREA_COMPONENT,AREA_ID,1
AREA_COMPONENT,AREA_TYPE,2
AREA_COMPONENT,COMPONENT_OBS_NO,3
AREA_CONTAIN,CONTAINING_AREA_ID,1
AREA_CONTAIN,CONTAINING_AREA_TYPE,2
AREA_CONTAIN,CONTAINED_AREA_ID,3
AREA_CONTAIN,CONTAINED_AREA_TYPE,4
AREA_DESCRIPTION,AREA_ID,1
AREA_DESCRIPTION,AREA_TYPE,2
AREA_DESCRIPTION,DESCRIPTION_OBS_NO,3
BA_ADDRESS,BUSINESS_ASSOCIATE,1
BA_ADDRESS,SOURCE,2
BA_ADDRESS,ADDRESS_OBS_NO,3
BA_ALIAS,BUSINESS_ASSOCIATE,1
BA_ALIAS,SOURCE,2
BA_ALIAS,BA_ALIAS_ID,3
BA_AUTHORITY,BUSINESS_ASSOCIATE,1
BA_AUTHORITY,AUTHORITY_ID,2
BA_AUTHORITY_COMP,BUSINESS_ASSOCIATE,1
BA_AUTHORITY_COMP,AUTHORITY_ID,2
BA_AUTHORITY_COMP,COMPONENT_OBS_NO,3
BA_COMPONENT,BUSINESS_ASSOCIATE,1
BA_COMPONENT,COMPONENT_OBS_NO,2
BA_CONSORTIUM_SERVICE,CONSORTIUM_BA_ID,1
BA_CONSORTIUM_SERVICE,PROVIDED_BY,2
BA_CONSORTIUM_SERVICE,SERVICE_SEQ_NO,3
BA_CONTACT_INFO,BUSINESS_ASSOCIATE,1
BA_CONTACT_INFO,LOCATION_ID,2
BA_CREW,CREW_COMPANY_BA_ID,1
BA_CREW,CREW_ID,2
BA_CREW_MEMBER,CREW_COMPANY_BA_ID,1
BA_CREW_MEMBER,CREW_ID,2
BA_CREW_MEMBER,MEMBER_OBS_NO,3
BA_CREW_MEMBER,CREW_MEMBER_BA_ID,4
BA_DESCRIPTION,BUSINESS_ASSOCIATE_ID,1
BA_DESCRIPTION,DESCRIPTION_ID,2
BA_EMPLOYEE,EMPLOYER_BA_ID,1
BA_EMPLOYEE,EMPLOYEE_BA_ID,2
BA_EMPLOYEE,EMPLOYEE_OBS_NO,3
BA_LICENSE,LICENSEE_BA_ID,1
BA_LICENSE,LICENSE_ID,2
BA_LICENSE_ALIAS,LICENSEE_BA_ID,1
BA_LICENSE_ALIAS,LICENSE_ID,2
BA_LICENSE_ALIAS,ALIAS_ID,3
BA_LICENSE_AREA,LICENSEE_BA_ID,1
BA_LICENSE_AREA,LICENSE_ID,2
BA_LICENSE_AREA,AREA_ID,3
BA_LICENSE_AREA,AREA_TYPE,4
BA_LICENSE_COND,LICENSEE_BA_ID,1
BA_LICENSE_COND,LICENSE_ID,2
BA_LICENSE_COND,CONDITION_ID,3
BA_LICENSE_COND_CODE,GRANTED_BY_BA_ID,1
BA_LICENSE_COND_CODE,LICENSE_TYPE,2
BA_LICENSE_COND_CODE,CONDITION_TYPE,3
BA_LICENSE_COND_CODE,CONDITION_CODE,4
BA_LICENSE_COND_TYPE,GRANTED_BY_BA_ID,1
BA_LICENSE_COND_TYPE,LICENSE_TYPE,2
BA_LICENSE_COND_TYPE,CONDITION_TYPE,3
BA_LICENSE_REMARK,LICENSEE_BA_ID,1
BA_LICENSE_REMARK,LICENSE_ID,2
