TABLE_NAME,PKCOLUMNNAME,RTABLE,RCOLUMNNAME,ID
WELL_NODE_GEOMETRY,NODE_ID,WELL_NODE,NODE_ID,1
STRAT_FIELD_GEOMETRY,FIELD_STATION_ID,STRAT_FIELD_STATION,FIELD_STATION_NUMERIC_ID,2
Z_WELL_OIL_VISCOSITY,ANALYSIS_OBS_NO,Z_WELL_OIL_ANALYSIS,ANALYSIS_OBS_NO,3
Z_WELL_GAS_ANAL_DETAIL,SOURCE,Z_WELL_GAS_ANALYSIS,UWI,4
WELL_TEST,EVENT_OBS_NO,Z_WELL_EVENT,EVENT_OBS_NO,5
WELL_PRESSURE,UWI,Z_WELL_EVENT,EVENT_OBS_NO,6
WELL_PRESSURE,UWI,Z_WELL_EVENT,UWI,7
Z_WELL_EVENT,EVENT_TYPE,Z_R_WELL_ACTIVITY_TYPE,ACTIVITY_TYPE,8
SP_PARCEL_TEXAS,COUNTRY,Z_R_PROVINCE_STATE,COUNTRY,9
SP_PARCEL_CONGRESS,PROVINCE_STATE,Z_R_PROVINCE_STATE,PROVINCE_STATE,10
SP_PARCEL_CONGRESS,PROVINCE_STATE,Z_R_PROVINCE_STATE,COUNTRY,11
PROD_LEASE_UNIT_VERSION,COUNTRY,Z_R_PROVINCE_STATE,PROVINCE_STATE,12
PPDM_VOL_MEAS_USE,COUNTRY,Z_R_PROVINCE_STATE,COUNTRY,13
LEGAL_OHIO_LOC,COUNTRY,Z_R_PROVINCE_STATE,PROVINCE_STATE,14
FIELD_VERSION,PROVINCE_STATE,Z_R_PROVINCE_STATE,PROVINCE_STATE,15
FIELD,PROVINCE_STATE,Z_R_PROVINCE_STATE,COUNTRY,16
FIELD,COUNTRY,Z_R_PROVINCE_STATE,PROVINCE_STATE,17
WELL_NODE_VERSION,PROVINCE_STATE,Z_R_PROVINCE_STATE,PROVINCE_STATE,18
WELL_NODE_VERSION,PROVINCE_STATE,Z_R_PROVINCE_STATE,COUNTRY,19
SP_PARCEL_OHIO,COUNTRY,Z_R_PROVINCE_STATE,COUNTRY,20
SEIS_ACQTN_SURVEY,COUNTRY,Z_R_PROVINCE_STATE,PROVINCE_STATE,21
INSTRUMENT,COUNTRY,Z_R_PROVINCE_STATE,PROVINCE_STATE,22
LAND_RIGHT,LAND_DISTRICT,Z_R_LAND_DISTRICT,LAND_DISTRICT,23
POOL,GEOLOGIC_PROVINCE,Z_R_GEOLOGIC_PROVINCE,GEOLOGIC_PROVINCE,24
PPDM_VOL_MEAS_USE,GEOGRAPHIC_REGION,Z_R_GEOGRAPHIC_REGION,GEOGRAPHIC_REGION,25
POOL_VERSION,DISTRICT,Z_R_DISTRICT,DISTRICT,26
Z_R_LAND_DISTRICT,COUNTY,Z_R_COUNTY,COUNTRY,27
Z_FIELD_IN_COUNTY,PROVINCE_STATE,Z_R_COUNTY,PROVINCE_STATE,28
Z_FIELD_IN_COUNTY,COUNTRY,Z_R_COUNTY,COUNTY,29
WELL_VERSION,COUNTRY,Z_R_COUNTY,COUNTRY,30
WELL,PROVINCE_STATE,Z_R_COUNTY,COUNTRY,31
SP_PARCEL_TEXAS,PROVINCE_STATE,Z_R_COUNTY,PROVINCE_STATE,32
SP_PARCEL_CARTER,COUNTY,Z_R_COUNTY,COUNTRY,33
SEIS_SET,COUNTY,Z_R_COUNTY,PROVINCE_STATE,34
SEIS_SEGMENT,PROVINCE_STATE,Z_R_COUNTY,COUNTY,35
SEIS_SEGMENT,PROVINCE_STATE,Z_R_COUNTY,PROVINCE_STATE,36
SEIS_SEGMENT,PROVINCE_STATE,Z_R_COUNTY,COUNTRY,37
SEIS_SEGMENT,COUNTRY,Z_R_COUNTY,PROVINCE_STATE,38
SEIS_SEGMENT,COUNTRY,Z_R_COUNTY,COUNTRY,39
SEIS_INSP_COMPONENT,COUNTRY,Z_R_COUNTY,COUNTY,40
PROD_LEASE_UNIT_AREA,COUNTY,Z_R_COUNTY,PROVINCE_STATE,41
PROD_LEASE_UNIT_AREA,COUNTRY,Z_R_COUNTY,PROVINCE_STATE,42
POOL_VERSION,PROVINCE_STATE,Z_R_COUNTY,COUNTY,43
POOL_VERSION,COUNTY,Z_R_COUNTY,COUNTY,44
POOL_VERSION,COUNTRY,Z_R_COUNTY,COUNTRY,45
PDEN_AREA,COUNTRY,Z_R_COUNTY,COUNTY,46
LEGAL_OHIO_LOC,COUNTRY,Z_R_COUNTY,PROVINCE_STATE,47
LEGAL_OFFSHORE_LOC,COUNTY,Z_R_COUNTY,COUNTY,48
LEGAL_OFFSHORE_LOC,COUNTY,Z_R_COUNTY,COUNTRY,49
LEGAL_NE_LOC,PROVINCE_STATE,Z_R_COUNTY,COUNTRY,50
SP_PARCEL_OHIO,PROVINCE_STATE,Z_R_COUNTY,COUNTRY,51
SP_PARCEL_NORTH_SEA,COUNTY,Z_R_COUNTY,COUNTY,52
SP_PARCEL_NORTH_SEA,COUNTRY,Z_R_COUNTY,COUNTY,53
SP_PARCEL_NE_LOC,COUNTRY,Z_R_COUNTY,PROVINCE_STATE,54
SEIS_TRANS_COMPONENT,COUNTRY,Z_R_COUNTY,PROVINCE_STATE,55
POOL,COUNTY,Z_R_COUNTY,COUNTRY,56
PDEN_IN_AREA,PROVINCE_STATE,Z_R_COUNTY,PROVINCE_STATE,57
PDEN_IN_AREA,PROVINCE_STATE,Z_R_COUNTY,COUNTRY,58
PDEN_IN_AREA,COUNTRY,Z_R_COUNTY,COUNTY,59
LEGAL_CONGRESS_LOC,PROVINCE_STATE,Z_R_COUNTY,COUNTY,60
LEGAL_CONGRESS_LOC,PROVINCE_STATE,Z_R_COUNTY,COUNTRY,61
LEGAL_CONGRESS_LOC,COUNTY,Z_R_COUNTY,COUNTY,62
