TABLE_NAME,PKCOLUMNNAME,RTABLE,RCOLUMNNAME
WELL_NODE_GEOMETRY,NODE_ID,WELL_NODE,NODE_ID
STRAT_FIELD_GEOMETRY,FIELD_STATION_ID,STRAT_FIELD_STATION,FIELD_STATION_NUMERIC_ID
Z_WELL_OIL_VISCOSITY,ANALYSIS_OBS_NO,Z_WELL_OIL_ANALYSIS,ANALYSIS_OBS_NO
Z_WELL_GAS_ANAL_DETAIL,SOURCE,Z_WELL_GAS_ANALYSIS,UWI
WELL_TEST,EVENT_OBS_NO,Z_WELL_EVENT,EVENT_OBS_NO
WELL_PRESSURE,UWI,Z_WELL_EVENT,EVENT_OBS_NO
WELL_PRESSURE,UWI,Z_WELL_EVENT,UWI
Z_WELL_EVENT,EVENT_TYPE,Z_R_WELL_ACTIVITY_TYPE,ACTIVITY_TYPE
SP_PARCEL_TEXAS,COUNTRY,Z_R_PROVINCE_STATE,COUNTRY
SP_PARCEL_CONGRESS,PROVINCE_STATE,Z_R_PROVINCE_STATE,PROVINCE_STATE
SP_PARCEL_CONGRESS,PROVINCE_STATE,Z_R_PROVINCE_STATE,COUNTRY
PROD_LEASE_UNIT_VERSION,COUNTRY,Z_R_PROVINCE_STATE,PROVINCE_STATE
PPDM_VOL_MEAS_USE,COUNTRY,Z_R_PROVINCE_STATE,COUNTRY
LEGAL_OHIO_LOC,COUNTRY,Z_R_PROVINCE_STATE,PROVINCE_STATE
FIELD_VERSION,PROVINCE_STATE,Z_R_PROVINCE_STATE,PROVINCE_STATE
FIELD,PROVINCE_STATE,Z_R_PROVINCE_STATE,COUNTRY
FIELD,COUNTRY,Z_R_PROVINCE_STATE,PROVINCE_STATE
WELL_NODE_VERSION,PROVINCE_STATE,Z_R_PROVINCE_STATE,PROVINCE_STATE
WELL_NODE_VERSION,PROVINCE_STATE,Z_R_PROVINCE_STATE,COUNTRY
SP_PARCEL_OHIO,COUNTRY,Z_R_PROVINCE_STATE,COUNTRY
SEIS_ACQTN_SURVEY,COUNTRY,Z_R_PROVINCE_STATE,PROVINCE_STATE
INSTRUMENT,COUNTRY,Z_R_PROVINCE_STATE,PROVINCE_STATE
LAND_RIGHT,LAND_DISTRICT,Z_R_LAND_DISTRICT,LAND_DISTRICT
POOL,GEOLOGIC_PROVINCE,Z_R_GEOLOGIC_PROVINCE,GEOLOGIC_PROVINCE
PPDM_VOL_MEAS_USE,GEOGRAPHIC_REGION,Z_R_GEOGRAPHIC_REGION,GEOGRAPHIC_REGION
POOL_VERSION,DISTRICT,Z_R_DISTRICT,DISTRICT
Z_R_LAND_DISTRICT,COUNTY,Z_R_COUNTY,COUNTRY
Z_FIELD_IN_COUNTY,PROVINCE_STATE,Z_R_COUNTY,PROVINCE_STATE
Z_FIELD_IN_COUNTY,COUNTRY,Z_R_COUNTY,COUNTY
WELL_VERSION,COUNTRY,Z_R_COUNTY,COUNTRY
WELL,PROVINCE_STATE,Z_R_COUNTY,COUNTRY
SP_PARCEL_TEXAS,PROVINCE_STATE,Z_R_COUNTY,PROVINCE_STATE
SP_PARCEL_CARTER,COUNTY,Z_R_COUNTY,COUNTRY
SEIS_SET,COUNTY,Z_R_COUNTY,PROVINCE_STATE
SEIS_SEGMENT,PROVINCE_STATE,Z_R_COUNTY,COUNTY
SEIS_SEGMENT,PROVINCE_STATE,Z_R_COUNTY,PROVINCE_STATE
SEIS_SEGMENT,PROVINCE_STATE,Z_R_COUNTY,COUNTRY
SEIS_SEGMENT,COUNTRY,Z_R_COUNTY,PROVINCE_STATE
SEIS_SEGMENT,COUNTRY,Z_R_COUNTY,COUNTRY
SEIS_INSP_COMPONENT,COUNTRY,Z_R_COUNTY,COUNTY
PROD_LEASE_UNIT_AREA,COUNTY,Z_R_COUNTY,PROVINCE_STATE
PROD_LEASE_UNIT_AREA,COUNTRY,Z_R_COUNTY,PROVINCE_STATE
POOL_VERSION,PROVINCE_STATE,Z_R_COUNTY,COUNTY
POOL_VERSION,COUNTY,Z_R_COUNTY,COUNTY
POOL_VERSION,COUNTRY,Z_R_COUNTY,COUNTRY
PDEN_AREA,COUNTRY,Z_R_COUNTY,COUNTY
LEGAL_OHIO_LOC,COUNTRY,Z_R_COUNTY,PROVINCE_STATE
LEGAL_OFFSHORE_LOC,COUNTY,Z_R_COUNTY,COUNTY
LEGAL_OFFSHORE_LOC,COUNTY,Z_R_COUNTY,COUNTRY
LEGAL_NE_LOC,PROVINCE_STATE,Z_R_COUNTY,COUNTRY
SP_PARCEL_OHIO,PROVINCE_STATE,Z_R_COUNTY,COUNTRY
SP_PARCEL_NORTH_SEA,COUNTY,Z_R_COUNTY,COUNTY
SP_PARCEL_NORTH_SEA,COUNTRY,Z_R_COUNTY,COUNTY
SP_PARCEL_NE_LOC,COUNTRY,Z_R_COUNTY,PROVINCE_STATE
SEIS_TRANS_COMPONENT,COUNTRY,Z_R_COUNTY,PROVINCE_STATE
POOL,COUNTY,Z_R_COUNTY,COUNTRY
PDEN_IN_AREA,PROVINCE_STATE,Z_R_COUNTY,PROVINCE_STATE
PDEN_IN_AREA,PROVINCE_STATE,Z_R_COUNTY,COUNTRY
PDEN_IN_AREA,COUNTRY,Z_R_COUNTY,COUNTY
LEGAL_CONGRESS_LOC,PROVINCE_STATE,Z_R_COUNTY,COUNTY
LEGAL_CONGRESS_LOC,PROVINCE_STATE,Z_R_COUNTY,COUNTRY
LEGAL_CONGRESS_LOC,COUNTY,Z_R_COUNTY,COUNTY
LEGAL_CARTER_LOC,PROVINCE_STATE,Z_R_COUNTY,COUNTY
INSTRUMENT,COUNTRY,Z_R_COUNTY,COUNTRY
Z_R_PROVINCE_STATE,COUNTRY,Z_R_COUNTRY,COUNTRY
SP_PARCEL_FPS,COUNTRY,Z_R_COUNTRY,COUNTRY
LEGAL_TEXAS_LOC,COUNTRY,Z_R_COUNTRY,COUNTRY
SP_PARCEL_PBL,COUNTRY,Z_R_COUNTRY,COUNTRY
SP_PARCEL_OFFSHORE,COUNTRY,Z_R_COUNTRY,COUNTRY
SEIS_ACQTN_SURVEY,COUNTRY,Z_R_COUNTRY,COUNTRY
Z_PDEN_WATER_ANAL_DTL,ANALYSIS_OBS_NO,Z_PDEN_WATER_ANALYSIS,PDEN_TYPE
Z_PDEN_WATER_ANAL_DTL,PDEN_TYPE,Z_PDEN_WATER_ANALYSIS,PDEN_TYPE
Z_PDEN_WATER_ANAL_DTL,PDEN_ID,Z_PDEN_WATER_ANALYSIS,PDEN_ID
Z_PDEN_OIL_VISCOSITY,PDEN_SOURCE,Z_PDEN_OIL_ANALYSIS,PDEN_SOURCE
Z_PDEN_OIL_VISCOSITY,PDEN_TYPE,Z_PDEN_OIL_ANALYSIS,PDEN_TYPE
