id,TABLE_NAME,COLUMN_NAME,SOURCETABLENAME,SOURCECOLUMNNAME
1,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ACCOUNT_PROC_TYPE,ROW_QUALITY
2,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ACCOUNT_PROC_TYPE,ROW_QUALITY
3,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ACTIVITY_SET_TYPE,ROW_QUALITY
4,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ACTIVITY_TYPE,ROW_QUALITY
5,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ALIAS_TYPE,ROW_QUALITY
6,R_SOURCE,SOURCE,R_ALLOWABLE_EXPENSE,SOURCE
7,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ANALYSIS_REPORT,ROW_QUALITY
8,R_SOURCE,SOURCE,R_ANALYSIS_REPORT,SOURCE
9,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ANAL_PROPERTY_CODE,ROW_QUALITY
10,R_SOURCE,SOURCE,R_APPLICATION_COMP_TYPE,SOURCE
11,R_SOURCE,SOURCE,R_APPLIC_ATTACHMENT,SOURCE
12,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_APPLIC_BA_ROLE,ROW_QUALITY
13,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_APPLIC_REMARK_TYPE,ROW_QUALITY
14,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_AREA_DESC_CODE,ROW_QUALITY
15,PPDM_PROPERTY_SET,PROPERTY_SET_ID,R_AREA_DESC_TYPE,PROPERTY_SET_ID
16,R_SOURCE,SOURCE,R_BA_DESC_TYPE,SOURCE
17,R_SOURCE,SOURCE,R_BH_PRESS_TEST_TYPE,SOURCE
18,R_SOURCE,SOURCE,R_BIT_CUT_STRUCT_OUTER,SOURCE
19,R_SOURCE,SOURCE,R_CAT_ADDITIVE_GROUP,SOURCE
20,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CAT_ADDITIVE_QUANTITY,ROW_QUALITY
21,R_SOURCE,SOURCE,R_CAT_ADDITIVE_QUANTITY,SOURCE
22,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CAT_EQUIP_GROUP,ROW_QUALITY
23,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CLASS_LEV_COMP_TYPE,ROW_QUALITY
24,R_SOURCE,SOURCE,R_CLASS_LEV_COMP_TYPE,SOURCE
25,R_SOURCE,SOURCE,R_CLASS_SYSTEM_DIMENSION,SOURCE
26,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_COMPLETION_STATUS,ROW_QUALITY
27,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CONFIDENCE_TYPE,ROW_QUALITY
28,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CONSULT_ATTEND_TYPE,ROW_QUALITY
29,R_SOURCE,SOURCE,R_CONSULT_ATTEND_TYPE,SOURCE
30,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CONTEST_COMP_TYPE,ROW_QUALITY
31,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CONT_BA_ROLE,ROW_QUALITY
32,R_SOURCE,SOURCE,R_CONT_STATUS,SOURCE
33,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CONT_VOTE_TYPE,ROW_QUALITY
34,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_COORD_CAPTURE,ROW_QUALITY
35,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_COORD_QUALITY,ROW_QUALITY
36,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CORE_SHIFT_METHOD,ROW_QUALITY
37,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CORE_SOLVENT,ROW_QUALITY
38,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CS_TRANSFORM_PARM,ROW_QUALITY
39,SOURCE_DOCUMENT,SOURCE_DOCUMENT,R_CS_TRANSFORM_PARM,SOURCE_DOCUMENT
40,R_SOURCE,SOURCE,R_DATA_CIRC_PROCESS,SOURCE
41,R_SOURCE,SOURCE,R_DECLINE_COND_TYPE,SOURCE
42,R_SOURCE,SOURCE,R_DIGITAL_FORMAT,SOURCE
43,R_SOURCE,SOURCE,R_DIRECTION,SOURCE
44,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_DOC_STATUS,ROW_QUALITY
45,R_SOURCE,SOURCE,R_DRILL_BIT_DETAIL_TYPE,SOURCE
46,R_SOURCE,SOURCE,R_DRILL_BIT_TYPE,SOURCE
47,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_DRILL_HOLE_POSITION,ROW_QUALITY
48,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_DRILL_REPORT_TIME,ROW_QUALITY
49,R_SOURCE,SOURCE,R_DRILL_REPORT_TIME,SOURCE
50,R_SOURCE,SOURCE,R_DRILL_STAT_CODE,SOURCE
51,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_DRILL_TOOL_TYPE,ROW_QUALITY
52,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ECONOMIC_SCHEDULE,ROW_QUALITY
53,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_EMPLOYEE_STATUS,ROW_QUALITY
54,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ENT_SEC_GROUP_TYPE,ROW_QUALITY
