TABLE_NAME,COLUMN_NAME,SOURCETABLENAME,SOURCECOLUMNNAME
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ACCOUNT_PROC_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ACCOUNT_PROC_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ACTIVITY_SET_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ACTIVITY_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ALIAS_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_ALLOWABLE_EXPENSE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ANALYSIS_REPORT,ROW_QUALITY
R_SOURCE,SOURCE,R_ANALYSIS_REPORT,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ANAL_PROPERTY_CODE,ROW_QUALITY
R_SOURCE,SOURCE,R_APPLICATION_COMP_TYPE,SOURCE
R_SOURCE,SOURCE,R_APPLIC_ATTACHMENT,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_APPLIC_BA_ROLE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_APPLIC_REMARK_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_AREA_DESC_CODE,ROW_QUALITY
PPDM_PROPERTY_SET,PROPERTY_SET_ID,R_AREA_DESC_TYPE,PROPERTY_SET_ID
R_SOURCE,SOURCE,R_BA_DESC_TYPE,SOURCE
R_SOURCE,SOURCE,R_BH_PRESS_TEST_TYPE,SOURCE
R_SOURCE,SOURCE,R_BIT_CUT_STRUCT_OUTER,SOURCE
R_SOURCE,SOURCE,R_CAT_ADDITIVE_GROUP,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CAT_ADDITIVE_QUANTITY,ROW_QUALITY
R_SOURCE,SOURCE,R_CAT_ADDITIVE_QUANTITY,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CAT_EQUIP_GROUP,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CLASS_LEV_COMP_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_CLASS_LEV_COMP_TYPE,SOURCE
R_SOURCE,SOURCE,R_CLASS_SYSTEM_DIMENSION,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_COMPLETION_STATUS,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CONFIDENCE_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CONSULT_ATTEND_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_CONSULT_ATTEND_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CONTEST_COMP_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CONT_BA_ROLE,ROW_QUALITY
R_SOURCE,SOURCE,R_CONT_STATUS,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CONT_VOTE_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_COORD_CAPTURE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_COORD_QUALITY,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CORE_SHIFT_METHOD,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CORE_SOLVENT,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CS_TRANSFORM_PARM,ROW_QUALITY
SOURCE_DOCUMENT,SOURCE_DOCUMENT,R_CS_TRANSFORM_PARM,SOURCE_DOCUMENT
R_SOURCE,SOURCE,R_DATA_CIRC_PROCESS,SOURCE
R_SOURCE,SOURCE,R_DECLINE_COND_TYPE,SOURCE
R_SOURCE,SOURCE,R_DIGITAL_FORMAT,SOURCE
R_SOURCE,SOURCE,R_DIRECTION,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_DOC_STATUS,ROW_QUALITY
R_SOURCE,SOURCE,R_DRILL_BIT_DETAIL_TYPE,SOURCE
R_SOURCE,SOURCE,R_DRILL_BIT_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_DRILL_HOLE_POSITION,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_DRILL_REPORT_TIME,ROW_QUALITY
R_SOURCE,SOURCE,R_DRILL_REPORT_TIME,SOURCE
R_SOURCE,SOURCE,R_DRILL_STAT_CODE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_DRILL_TOOL_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ECONOMIC_SCHEDULE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_EMPLOYEE_STATUS,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ENT_SEC_GROUP_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_EQUIP_COMPONENT_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_EQUIP_SPEC_REF_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_EW_START_LINE,SOURCE
R_FAC_STATUS_TYPE,STATUS_TYPE,R_FACILITY_STATUS,STATUS_TYPE
R_SOURCE,SOURCE,R_FAC_FUNCTION,SOURCE
R_SOURCE,SOURCE,R_FAC_LIC_DUE_CONDITION,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_FAC_MAINT_STATUS,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_FAC_MAINT_STATUS_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_FAC_PIPE_MATERIAL,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_FAC_PIPE_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_FAULT_TYPE,SOURCE
R_SOURCE,SOURCE,R_FOS_COLOR,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_FOS_NAME_SET_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_FOS_OBS_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_FOS_TAXON_LEVEL,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_HSE_COMP_ROLE,ROW_QUALITY
R_SOURCE,SOURCE,R_HSE_COMP_ROLE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_HSE_INCIDENT_DETAIL,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_INCIDENT_BA_ROLE,ROW_QUALITY
R_SOURCE,SOURCE,R_INFORMATION_PROCESS,SOURCE
R_INST_DETAIL_TYPE,INSTRUMENT_DETAIL_TYPE,R_INST_DETAIL_CODE,INSTRUMENT_DETAIL_TYPE
R_SOURCE,SOURCE,R_INT_SET_STATUS_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_INV_MATERIAL_TYPE,ROW_QUALITY
R_RETENTION_PERIOD,RETENTION_PERIOD,R_ITEM_CATEGORY,RETENTION_PERIOD
