TABLE_NAME,PKCOLUMNNAME,RTABLE,RCOLUMNNAME,id
SAMPLE_GAS_ANAL_DETAIL,SOURCE,R_SOURCE,SOURCE,1
SAMPLE_ANAL_COMPONENT,SOURCE,R_SOURCE,SOURCE,2
R_WO_BA_ROLE,SOURCE,R_SOURCE,SOURCE,3
R_WELL_STATUS,SOURCE,R_SOURCE,SOURCE,4
R_LITH_CONTAMINANT,SOURCE,R_SOURCE,SOURCE,5
R_CONTACT_ROLE,SOURCE,R_SOURCE,SOURCE,6
R_CODE_VERSION_XREF_TYPE,SOURCE,R_SOURCE,SOURCE,7
R_BIT_BEARING_CONDITION,SOURCE,R_SOURCE,SOURCE,8
RESENT_VOL_REVISION,SOURCE,R_SOURCE,SOURCE,9
RESENT_ECO_SCHEDULE,SOURCE,R_SOURCE,SOURCE,10
PROJECT_EQUIP_ROLE,SOURCE,R_SOURCE,SOURCE,11
PROJECT_BA,SOURCE,R_SOURCE,SOURCE,12
LAND_RIGHT_WELL_SUBST,SOURCE,R_SOURCE,SOURCE,13
HSE_INCIDENT_COMPONENT,SOURCE,R_SOURCE,SOURCE,14
CS_COORD_TRANS_VALUE,SOURCE,R_SOURCE,SOURCE,15
CS_COORDINATE_SYSTEM,SOURCE,R_SOURCE,SOURCE,16
CONT_REMARK,SOURCE,R_SOURCE,SOURCE,17
Z_WELL_TOUR_OCCURRENCE,SOURCE,R_SOURCE,SOURCE,18
Z_WELL_DRILL_STATUS,SOURCE,R_SOURCE,SOURCE,19
Z_R_LAND_DISTRICT,SOURCE,R_SOURCE,SOURCE,20
CAT_ADDITIVE_SPEC,SOURCE,R_SOURCE,SOURCE,21
Z_WELL_TOUR_OCCURRENCE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,22
Z_WELL_OIL_VISCOSITY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,23
Z_WELL_GAS_ANALYSIS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,24
Z_R_COUNTY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,25
Z_R_COUNTRY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,26
Z_FIELD_IN_COUNTY,SOURCE,R_SOURCE,SOURCE,27
Z_CONT_PROV_STATE,SOURCE,R_SOURCE,SOURCE,28
Z_CONT_COUNTY,SOURCE,R_SOURCE,SOURCE,29
WORK_ORDER_DELIVERY,SOURCE,R_SOURCE,SOURCE,30
WORK_ORDER_COMPONENT,SOURCE,R_SOURCE,SOURCE,31
WELL_TEST_STRAT_UNIT,SOURCE,R_SOURCE,SOURCE,32
Z_CONT_PROV_STATE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,33
ZONE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,34
WORK_ORDER_BA,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,35
WELL_SHOW,SOURCE,R_SOURCE,SOURCE,36
WELL_REMARK,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,37
WELL_PERF_REMARK,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,38
WELL_NODE_GEOMETRY,SOURCE,R_SOURCE,SOURCE,39
WELL_LOG_CURVE_SPLICE,SOURCE,R_SOURCE,SOURCE,40
WELL_LOG_CURVE_PROC,SOURCE,R_SOURCE,SOURCE,41
WELL_LOG_TRIP_REMARK,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,42
WELL_LOG_CRV_CLS_XREF,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,43
WELL_LICENSE_REMARK,SOURCE,R_SOURCE,SOURCE,44
WELL_HORIZ_DRILL_KOP,SOURCE,R_SOURCE,SOURCE,45
WELL_EQUIPMENT,SOURCE,R_SOURCE,SOURCE,46
WELL_DRILL_PIPE_INV,SOURCE,R_SOURCE,SOURCE,47
WELL_LICENSE_STATUS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,48
WELL_DRILL_BIT_PERIOD,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,49
WELL_AREA,SOURCE,R_SOURCE,SOURCE,50
WELL_AIR_DRILL_INTERVAL,SOURCE,R_SOURCE,SOURCE,51
WELL_DRILL_ASSEMBLY_COMP,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,52
WELL_DIR_SRVY_STATION,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,53
WELL_AIR_DRILL_PERIOD,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,54
WELL_ACTIVITY_SET,SOURCE,R_SOURCE,SOURCE,55
STRAT_UNIT_AGE,SOURCE,R_SOURCE,SOURCE,56
STRAT_EQUIVALENCE,SOURCE,R_SOURCE,SOURCE,57
SUBSTANCE_COMPOSITION,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,58
SP_PARCEL_PBL,SOURCE,R_SOURCE,SOURCE,59
SP_PARCEL_LOT,SOURCE,R_SOURCE,SOURCE,60
SP_PARCEL_PBL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,61
SP_PARCEL_LOT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,62
SP_PARCEL_LIBYA,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,63
SP_PARCEL_DLS_ROAD,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,64
SP_MINERAL_ZONE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,65
SP_DESC_TEXT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,66
SOURCE_DOC_BIBLIO,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,67
SF_WASTE_DISPOSAL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,68
SF_VESSEL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,69
SF_VEHICLE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,70
