TABLE_NAME,PKCOLUMNNAME,RTABLE,RCOLUMNNAME
SAMPLE_GAS_ANAL_DETAIL,SOURCE,R_SOURCE,SOURCE
SAMPLE_ANAL_COMPONENT,SOURCE,R_SOURCE,SOURCE
R_WO_BA_ROLE,SOURCE,R_SOURCE,SOURCE
R_WELL_STATUS,SOURCE,R_SOURCE,SOURCE
R_LITH_CONTAMINANT,SOURCE,R_SOURCE,SOURCE
R_CONTACT_ROLE,SOURCE,R_SOURCE,SOURCE
R_CODE_VERSION_XREF_TYPE,SOURCE,R_SOURCE,SOURCE
R_BIT_BEARING_CONDITION,SOURCE,R_SOURCE,SOURCE
RESENT_VOL_REVISION,SOURCE,R_SOURCE,SOURCE
RESENT_ECO_SCHEDULE,SOURCE,R_SOURCE,SOURCE
PROJECT_EQUIP_ROLE,SOURCE,R_SOURCE,SOURCE
PROJECT_BA,SOURCE,R_SOURCE,SOURCE
LAND_RIGHT_WELL_SUBST,SOURCE,R_SOURCE,SOURCE
HSE_INCIDENT_COMPONENT,SOURCE,R_SOURCE,SOURCE
CS_COORD_TRANS_VALUE,SOURCE,R_SOURCE,SOURCE
CS_COORDINATE_SYSTEM,SOURCE,R_SOURCE,SOURCE
CONT_REMARK,SOURCE,R_SOURCE,SOURCE
Z_WELL_TOUR_OCCURRENCE,SOURCE,R_SOURCE,SOURCE
Z_WELL_DRILL_STATUS,SOURCE,R_SOURCE,SOURCE
Z_R_LAND_DISTRICT,SOURCE,R_SOURCE,SOURCE
CAT_ADDITIVE_SPEC,SOURCE,R_SOURCE,SOURCE
Z_WELL_TOUR_OCCURRENCE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
Z_WELL_OIL_VISCOSITY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
Z_WELL_GAS_ANALYSIS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
Z_R_COUNTY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
Z_R_COUNTRY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
Z_FIELD_IN_COUNTY,SOURCE,R_SOURCE,SOURCE
Z_CONT_PROV_STATE,SOURCE,R_SOURCE,SOURCE
Z_CONT_COUNTY,SOURCE,R_SOURCE,SOURCE
WORK_ORDER_DELIVERY,SOURCE,R_SOURCE,SOURCE
WORK_ORDER_COMPONENT,SOURCE,R_SOURCE,SOURCE
WELL_TEST_STRAT_UNIT,SOURCE,R_SOURCE,SOURCE
Z_CONT_PROV_STATE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
ZONE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
WORK_ORDER_BA,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
WELL_SHOW,SOURCE,R_SOURCE,SOURCE
WELL_REMARK,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
WELL_PERF_REMARK,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
WELL_NODE_GEOMETRY,SOURCE,R_SOURCE,SOURCE
WELL_LOG_CURVE_SPLICE,SOURCE,R_SOURCE,SOURCE
WELL_LOG_CURVE_PROC,SOURCE,R_SOURCE,SOURCE
WELL_LOG_TRIP_REMARK,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
WELL_LOG_CRV_CLS_XREF,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
WELL_LICENSE_REMARK,SOURCE,R_SOURCE,SOURCE
WELL_HORIZ_DRILL_KOP,SOURCE,R_SOURCE,SOURCE
WELL_EQUIPMENT,SOURCE,R_SOURCE,SOURCE
WELL_DRILL_PIPE_INV,SOURCE,R_SOURCE,SOURCE
WELL_LICENSE_STATUS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
WELL_DRILL_BIT_PERIOD,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
WELL_AREA,SOURCE,R_SOURCE,SOURCE
WELL_AIR_DRILL_INTERVAL,SOURCE,R_SOURCE,SOURCE
WELL_DRILL_ASSEMBLY_COMP,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
WELL_DIR_SRVY_STATION,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
WELL_AIR_DRILL_PERIOD,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
WELL_ACTIVITY_SET,SOURCE,R_SOURCE,SOURCE
STRAT_UNIT_AGE,SOURCE,R_SOURCE,SOURCE
STRAT_EQUIVALENCE,SOURCE,R_SOURCE,SOURCE
SUBSTANCE_COMPOSITION,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SP_PARCEL_PBL,SOURCE,R_SOURCE,SOURCE
SP_PARCEL_LOT,SOURCE,R_SOURCE,SOURCE
SP_PARCEL_PBL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SP_PARCEL_LOT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SP_PARCEL_LIBYA,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SP_PARCEL_DLS_ROAD,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SP_MINERAL_ZONE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SP_DESC_TEXT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SOURCE_DOC_BIBLIO,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SF_WASTE_DISPOSAL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SF_VESSEL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SF_VEHICLE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SF_SUPPORT_FACILITY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SF_OTHER,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SF_GEOMETRY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SF_DISPOSAL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SF_COMPONENT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SEIS_STREAMER_BUILD,SOURCE,R_SOURCE,SOURCE
SEIS_SP_SURVEY,SOURCE,R_SOURCE,SOURCE
SEIS_VELOCITY_VOLUME,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SEIS_SET_STATUS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SEIS_SET,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SEIS_SEGMENT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
