OWNER,TABLE_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,CONSTRAINT_NAME,DELETE_RULE,ID
PPDM,APPLICATION,EXTENSION_ID,2,PPDM,CONT_EXTENSION,EXTENSION_ID,APP_CEX_FK,NO ACTION,1
PPDM,APPLICATION,CONTRACT_ID,1,PPDM,CONT_EXTENSION,CONTRACT_ID,APP_CEX_FK,NO ACTION,2
PPDM,APPLICATION,RATE_SCHEDULE_ID,1,PPDM,RATE_SCHEDULE,RATE_SCHEDULE_ID,APP_RATE_FK,NO ACTION,3
PPDM,APPLICATION,DECISION,1,PPDM,R_APPLIC_DECISION,APPLICATION_DECISION,APP_R_AD_FK,NO ACTION,4
PPDM,APPLICATION,CURRENT_STATUS,1,PPDM,R_APPLIC_STATUS,APPLICATION_STATUS,APP_R_AST_FK,NO ACTION,5
PPDM,APPLICATION,PREVIOUS_APPLICATION_ID,1,PPDM,APPLICATION,APPLICATION_ID,APP_APP_FK,NO ACTION,6
PPDM,APPLICATION,APPLICATION_TYPE,1,PPDM,R_APPLIC_TYPE,APPLICATION_TYPE,APP_R_APPT_FK,NO ACTION,7
PPDM,APPLICATION_COMPONENT,AREA_TYPE,2,PPDM,AREA,AREA_TYPE,APPC_A_FK,NO ACTION,8
PPDM,APPLICATION_COMPONENT,AREA_ID,1,PPDM,AREA,AREA_ID,APPC_A_FK,NO ACTION,9
PPDM,APPLICATION_COMPONENT,BUSINESS_ASSOCIATE,1,PPDM,BA_AUTHORITY,BUSINESS_ASSOCIATE,APPC_BAAU_FK,NO ACTION,10
PPDM,APPLICATION_COMPONENT,AUTHORITY_ID,2,PPDM,BA_AUTHORITY,AUTHORITY_ID,APPC_BAAU_FK,NO ACTION,11
PPDM,APPLICATION_COMPONENT,BUSINESS_ASSOCIATE,1,PPDM,BA_ORGANIZATION,BUSINESS_ASSOCIATE,APPC_BAO_FK,NO ACTION,12
PPDM,APPLICATION_COMPONENT,BA_ORGANIZATION_SEQ_NO,3,PPDM,BA_ORGANIZATION,ORGANIZATION_SEQ_NO,APPC_BAO_FK,NO ACTION,13
PPDM,APPLICATION_COMPONENT,BA_ORGANIZATION_ID,2,PPDM,BA_ORGANIZATION,ORGANIZATION_ID,APPC_BAO_FK,NO ACTION,14
PPDM,APPLICATION_COMPONENT,EMPLOYER_BA_ID,1,PPDM,BA_EMPLOYEE,EMPLOYER_BA_ID,APPC_BAE_FK,NO ACTION,15
PPDM,APPLICATION_COMPONENT,EMPLOYEE_OBS_NO,3,PPDM,BA_EMPLOYEE,EMPLOYEE_OBS_NO,APPC_BAE_FK,NO ACTION,16
PPDM,APPLICATION_COMPONENT,EMPLOYEE_BA_ID,2,PPDM,BA_EMPLOYEE,EMPLOYEE_BA_ID,APPC_BAE_FK,NO ACTION,17
PPDM,APPLICATION_COMPONENT,CATALOGUE_ADDITIVE_ID,1,PPDM,CAT_ADDITIVE,CATALOGUE_ADDITIVE_ID,APPC_CA_FK,NO ACTION,18
PPDM,APPLICATION_COMPONENT,CONSENT_ID,1,PPDM,CONSENT,CONSENT_ID,APPC_CON_FK,NO ACTION,19
PPDM,APPLICATION_COMPONENT,CONSULT_ID,1,PPDM,CONSULT,CONSULT_ID,APPC_CO_FK,NO ACTION,20
PPDM,APPLICATION_COMPONENT,ENTITLEMENT_ID,1,PPDM,ENTITLEMENT,ENTITLEMENT_ID,APPC_ENT_FK,NO ACTION,21
PPDM,APPLICATION_COMPONENT,INTEREST_SET_SEQ_NO,2,PPDM,INTEREST_SET,INTEREST_SET_SEQ_NO,APPC_INT_FK,NO ACTION,22
PPDM,APPLICATION_COMPONENT,INTEREST_SET_ID,1,PPDM,INTEREST_SET,INTEREST_SET_ID,APPC_INT_FK,NO ACTION,23
PPDM,APPLICATION_COMPONENT,INSTRUMENT_ID,1,PPDM,INSTRUMENT,INSTRUMENT_ID,APPC_INS_FK,NO ACTION,24
PPDM,APPLICATION_COMPONENT,INCIDENT_ID,1,PPDM,HSE_INCIDENT,INCIDENT_ID,APPC_HI_FK,NO ACTION,25
PPDM,APPLICATION_COMPONENT,FOSSIL_ID,1,PPDM,FOSSIL,FOSSIL_ID,APPC_FOS_FK,NO ACTION,26
PPDM,APPLICATION_COMPONENT,FIELD_ID,1,PPDM,FIELD,FIELD_ID,APPC_FLD_FK,NO ACTION,27
PPDM,APPLICATION_COMPONENT,FINANCE_ID,1,PPDM,FINANCE,FINANCE_ID,APPC_FIN_FK,NO ACTION,28
PPDM,APPLICATION_COMPONENT,FACILITY_TYPE,2,PPDM,FACILITY,FACILITY_TYPE,APPC_FAC_FK,NO ACTION,29
PPDM,APPLICATION_COMPONENT,FACILITY_ID,1,PPDM,FACILITY,FACILITY_ID,APPC_FAC_FK,NO ACTION,30
PPDM,APPLICATION_COMPONENT,ECOZONE_ID,1,PPDM,ECOZONE,ECOZONE_ID,APPC_EZ_FK,NO ACTION,31
PPDM,APPLICATION_COMPONENT,EQUIPMENT_ID,1,PPDM,EQUIPMENT,EQUIPMENT_ID,APPC_EQ_FK,NO ACTION,32
PPDM,APPLICATION_COMPONENT,APPLICATION_COMPONENT_TYPE,1,PPDM,R_APPLICATION_COMP_TYPE,APPLICATION_COMPONENT_TYPE,APPC_R_APPCT_FK,NO ACTION,33
PPDM,APPLICATION_COMPONENT,RESENT_ID,1,PPDM,RESERVE_ENTITY,RESENT_ID,APPC_RSE_FK,NO ACTION,34
PPDM,APPLICATION_COMPONENT,THESAURUS_WORD_ID,2,PPDM,RM_THESAURUS_WORD,THESAURUS_WORD_ID,APPC_RMTW_FK,NO ACTION,35
PPDM,APPLICATION_COMPONENT,THESAURUS_ID,1,PPDM,RM_THESAURUS_WORD,THESAURUS_ID,APPC_RMTW_FK,NO ACTION,36
PPDM,APPLICATION_COMPONENT,PHYSICAL_ITEM_ID,1,PPDM,RM_PHYSICAL_ITEM,PHYSICAL_ITEM_ID,APPC_RMPI_FK,NO ACTION,37
PPDM,APPLICATION_COMPONENT,INFO_ITEM_TYPE,2,PPDM,RM_INFORMATION_ITEM,INFO_ITEM_TYPE,APPC_RMII_FK,NO ACTION,38
PPDM,APPLICATION_COMPONENT,INFORMATION_ITEM_ID,1,PPDM,RM_INFORMATION_ITEM,INFORMATION_ITEM_ID,APPC_RMII_FK,NO ACTION,39
PPDM,APPLICATION_COMPONENT,PRODUCT_TYPE,1,PPDM,PRODUCT,PRODUCT_TYPE,APPC_PROD_FK,NO ACTION,40
PPDM,APPLICATION_COMPONENT,POOL_ID,1,PPDM,POOL,POOL_ID,APPC_PL_FK,NO ACTION,41
PPDM,APPLICATION_COMPONENT,PDEN_TYPE,2,PPDM,PDEN,PDEN_TYPE,APPC_PDE_FK,NO ACTION,42
PPDM,APPLICATION_COMPONENT,PDEN_SOURCE,3,PPDM,PDEN,SOURCE,APPC_PDE_FK,NO ACTION,43
PPDM,APPLICATION_COMPONENT,PDEN_ID,1,PPDM,PDEN,PDEN_ID,APPC_PDE_FK,NO ACTION,44
PPDM,APPLICATION_COMPONENT,PALEO_SUMMARY_ID,1,PPDM,PALEO_SUMMARY,PALEO_SUMMARY_ID,APPC_PASU_FK,NO ACTION,45
PPDM,APPLICATION_COMPONENT,OBLIGATION_SEQ_NO,2,PPDM,OBLIGATION,OBLIGATION_SEQ_NO,APPC_OB_FK,NO ACTION,46
PPDM,APPLICATION_COMPONENT,OBLIGATION_ID,1,PPDM,OBLIGATION,OBLIGATION_ID,APPC_OB_FK,NO ACTION,47
PPDM,APPLICATION_COMPONENT,NOTIFICATION_ID,1,PPDM,NOTIFICATION,NOTIFICATION_ID,APPC_NOTI_FK,NO ACTION,48
PPDM,APPLICATION_COMPONENT,LAND_SALE_NUMBER,2,PPDM,LAND_SALE,LAND_SALE_NUMBER,APPC_LS_FK,NO ACTION,49
PPDM,APPLICATION_COMPONENT,JURISDICTION,1,PPDM,LAND_SALE,JURISDICTION,APPC_LS_FK,NO ACTION,50
PPDM,APPLICATION_COMPONENT,LAND_RIGHT_TYPE,2,PPDM,LAND_RIGHT,LAND_RIGHT_TYPE,APPC_LR_FK,NO ACTION,51
PPDM,APPLICATION_COMPONENT,LAND_RIGHT_ID,1,PPDM,LAND_RIGHT,LAND_RIGHT_ID,APPC_LR_FK,NO ACTION,52
PPDM,APPLICATION_COMPONENT,LITH_LOG_SOURCE,2,PPDM,LITH_LOG,LITH_LOG_SOURCE,APPC_LIL_FK,NO ACTION,53
PPDM,APPLICATION_COMPONENT,LITHOLOGY_LOG_ID,1,PPDM,LITH_LOG,LITHOLOGY_LOG_ID,APPC_LIL_FK,NO ACTION,54
PPDM,APPLICATION_COMPONENT,APPLICATION_ID,1,PPDM,APPLICATION,APPLICATION_ID,APPC_APP_FK,NO ACTION,55
PPDM,APPLICATION_COMPONENT,UWI,1,PPDM,WELL,UWI,APPC_W_FK,NO ACTION,56
PPDM,APPLICATION_COMPONENT,WORK_ORDER_ID,1,PPDM,WORK_ORDER,WORK_ORDER_ID,APPC_WO_FK,NO ACTION,57
PPDM,APPLICATION_COMPONENT,WELL_ACTIVITY_UWI,1,PPDM,WELL_ACTIVITY,UWI,APPC_WAC_FK,NO ACTION,58
PPDM,APPLICATION_COMPONENT,WELL_ACTIVITY_SOURCE,2,PPDM,WELL_ACTIVITY,SOURCE,APPC_WAC_FK,NO ACTION,59
PPDM,APPLICATION_COMPONENT,ACTIVITY_OBS_NO,3,PPDM,WELL_ACTIVITY,ACTIVITY_OBS_NO,APPC_WAC_FK,NO ACTION,60
PPDM,APPLICATION_COMPONENT,STRAT_UNIT_ID,2,PPDM,STRAT_UNIT,STRAT_UNIT_ID,APPC_STU_FK,NO ACTION,61
PPDM,APPLICATION_COMPONENT,STRAT_NAME_SET_ID,1,PPDM,STRAT_UNIT,STRAT_NAME_SET_ID,APPC_STU_FK,NO ACTION,62
PPDM,APPLICATION_COMPONENT,SEIS_SET_TYPE,2,PPDM,SEIS_SET,SEIS_SET_TYPE,APPC_SS_FK,NO ACTION,63
PPDM,APPLICATION_COMPONENT,SEIS_SET_ID,1,PPDM,SEIS_SET,SEIS_SET_ID,APPC_SS_FK,NO ACTION,64
