Table_Name,Category,viewtype
R_ACCESS_CONDITION,ACCESS CONDITION CODE,MODULE
R_ACCOUNT_PROC_TYPE,ACCOUNTING,MODULE
R_ACTIVITY_SET_TYPE,ACTIVITY,MODULE
R_ACTIVITY_TYPE,ACTIVITY,MODULE
R_ADDITIVE_METHOD,WELL TREATMENT ADDITIVE,MODULE
R_ADDITIVE_TYPE,WELL TREATMENT ADDITIVE,MODULE
R_ADDRESS_TYPE,ADDRESS,MODULE
R_AIR_GAS_CODE,AIR GAS CODE,MODULE
R_AIRCRAFT_TYPE,AIR CRAFT TYPE,MODULE
R_ALIAS_REASON_TYPE,ALIAS,MODULE
R_ALIAS_TYPE,ALIAS,MODULE
R_ALLOCATION_TYPE,ALLOCATION,MODULE
R_ALLOWABLE_EXPENSE,ALLOWABLE,MODULE
R_ANAL_PROPERTY_CODE,ANALYSIS,MODULE
R_ANALYSIS_PROPERTY,ANALYSIS,MODULE
R_ANALYSIS_REPORT,ANALYSIS,MODULE
R_AOF_CALC_METHOD,AOF,MODULE
R_AOF_ANALYSIS_TYPE,AOF,MODULE
R_API_LOG_SYSTEM,API,MODULE
R_APPLIC_ATTACHMENT,APPLICATION,MODULE
R_APPLIC_TYPE,APPLICATION,MODULE
R_APPLIC_STATUS,APPLICATION,MODULE
R_APPLIC_REMARK_TYPE,APPLICATION,MODULE
R_APPLIC_DESC,APPLICATION,MODULE
R_APPLIC_DECISION,APPLICATION,MODULE
R_APPLIC_BA_ROLE,APPLICATION,MODULE
R_APPLICATION_COMP_TYPE,APPLICATION,MODULE
R_AREA_COMPONENT_TYPE,AREA,MODULE
R_AREA_TYPE,AREA,MODULE
R_AREA_DESC_TYPE,AREA,MODULE
R_AREA_DESC_CODE,AREA,MODULE
R_AREA_CONTAIN_TYPE,AREA,MODULE
R_AUTHOR_TYPE,AUTHOR,MODULE
R_AUTHORITY_TYPE,AUTHORITY,MODULE
R_BA_PREF_TYPE,BA,MODULE
R_BA_CATEGORY,BA,MODULE
R_BA_COMPONENT_TYPE,BA,MODULE
R_BA_CONTACT_LOC_TYPE,BA,MODULE
R_BA_CREW_OVERHEAD_TYPE,BA,MODULE
R_BA_CREW_TYPE,BA,MODULE
R_BA_DESC_CODE,BA,MODULE
R_BA_DESC_REF_VALUE,BA,MODULE
R_BA_DESC_TYPE,BA,MODULE
R_BA_LIC_DUE_CONDITION,BA,MODULE
R_BA_XREF_TYPE,BA,MODULE
R_BA_TYPE,BA,MODULE
R_BA_STATUS,BA,MODULE
R_BA_SERVICE_TYPE,BA,MODULE
R_BA_AUTHORITY_COMP_TYPE,BA,MODULE
R_BA_PERMIT_TYPE,BA,MODULE
R_BA_ORGANIZATION_TYPE,BA,MODULE
R_BA_ORGANIZATION_COMP_TYPE,BA,MODULE
R_BA_LIC_VIOL_RESOL,BA,MODULE
R_BA_LIC_VIOLATION_TYPE,BA,MODULE
R_BH_PRESS_TEST_TYPE,BHP,MODULE
R_BHP_METHOD,BHP,MODULE
R_BIT_CUT_STRUCT_DULL,BIT,MODULE
R_BIT_BEARING_CONDITION,BIT,MODULE
R_BIT_CUT_STRUCT_INNER,BIT,MODULE
R_BIT_REASON_PULLED,BIT,MODULE
R_BIT_CUT_STRUCT_LOC,BIT,MODULE
R_BIT_CUT_STRUCT_OUTER,BIT,MODULE
R_BLOWOUT_FLUID,BLOWOUT,MODULE
R_BUILDUP_RADIUS_TYPE,BUILDUP,MODULE
R_CAT_ADDITIVE_QUANTITY,CAT,MODULE
R_CAT_ADDITIVE_SPEC,CAT,MODULE
R_CAT_ADDITIVE_XREF,CAT,MODULE
R_CAT_EQUIP_GROUP,CAT,MODULE
R_CAT_ADDITIVE_GROUP,CAT,MODULE
R_CAT_EQUIP_SPEC_CODE,CAT,MODULE
R_CAT_EQUIP_TYPE,CAT,MODULE
R_CAT_EQUIP_SPEC,CAT,MODULE
R_CEMENT_TYPE,CEMENT,MODULE
R_CHECKSHOT_SRVY_TYPE,CHECKSHOT,MODULE
R_CLASS_LEV_COMP_TYPE,CLASS,MODULE
R_CLASS_LEV_XREF_TYPE,CLASS,MODULE
R_CLASS_SYSTEM_DIMENSION,CLASS,MODULE
R_CLASS_SYST_XREF_TYPE,CLASS,MODULE
R_CLASS_DESC_PROPERTY,CLASS,MODULE
R_CODE_VERSION_XREF_TYPE,CODE,MODULE
R_COLLAR_TYPE,COLLAR,MODULE
R_COLOR_FORMAT,COLOR,MODULE
R_COLOR_PALETTE,COLOR,MODULE
R_COMPLETION_METHOD,COMPLETION,MODULE
R_COMPLETION_TYPE,COMPLETION,MODULE
R_COMPLETION_STATUS_TYPE,COMPLETION,MODULE
R_COMPLETION_STATUS,COMPLETION,MODULE
R_CONDITION_TYPE,CONDITION,MODULE
R_CONFIDENCE_TYPE,CONFIDENCE,MODULE
R_CONFIDENTIAL_REASON,CONFIDENTIAL,MODULE
R_CONFIDENTIAL_TYPE,CONFIDENTIAL,MODULE
R_CONFORMITY_RELATION,CONFORMITY,MODULE
R_CONSENT_BA_ROLE,CONSENT,MODULE
R_CONSENT_COMP_TYPE,CONSENT,MODULE
R_CONSENT_CONDITION,CONSENT,MODULE
R_CONSENT_REMARK,CONSENT,MODULE
R_CONSENT_TYPE,CONSENT,MODULE
R_CONSENT_STATUS,CONSENT,MODULE
R_CONSULT_COMP_TYPE,CONSULT,MODULE
R_CONSULT_DISC_TYPE,CONSULT,MODULE
R_CONSULT_ISSUE_TYPE,CONSULT,MODULE
R_CONSULT_REASON,CONSULT,MODULE
R_CONSULT_ATTEND_TYPE,CONSULT,MODULE
R_CONSULT_ROLE,CONSULT,MODULE
R_CONSULT_TYPE,CONSULT,MODULE
R_CONSULT_XREF_TYPE,CONSULT,MODULE
R_CONSULT_RESOLUTION,CONSULT,MODULE
R_CONT_INSUR_ELECT,CONTRACT,MODULE
R_CONT_OPERATING_PROC,CONTRACT,MODULE
R_CONT_PROVISION_TYPE,CONTRACT,MODULE
R_CONT_PROV_XREF_TYPE,CONTRACT,MODULE
R_CONT_STATUS,CONTRACT,MODULE
R_CONT_STATUS_TYPE,CONTRACT,MODULE
R_CONT_TYPE,CONTRACT,MODULE
R_CONT_VOTE_RESPONSE,CONTRACT,MODULE
R_CONT_VOTE_TYPE,CONTRACT,MODULE
R_CONT_XREF_TYPE,CONTRACT,MODULE
R_CONT_EXTEND_TYPE,CONTRACT,MODULE
R_CONT_BA_ROLE,CONTRACT,MODULE
R_CONT_COMP_REASON,CONTRACT,MODULE
R_CONT_EXTEND_COND,CONTRACT,MODULE
R_CONTACT_ROLE,BA,MODULE
R_CONTAMINANT_TYPE,CONTAMINANT,MODULE
R_CONTEST_COMP_TYPE,CONTEST,MODULE
R_CONTEST_PARTY_ROLE,CONTEST,MODULE
R_CONTEST_TYPE,CONTEST,MODULE
R_CONTEST_RESOLUTION,CONTEST,MODULE
R_CONTRACT_COMP_TYPE,CONTRACT,MODULE
R_COORD_SYSTEM_TYPE,COORDINATE,MODULE
R_COORD_QUALITY,COORDINATE,MODULE
R_COORD_COMPUTE,COORDINATE,MODULE
R_COORD_CAPTURE,COORDINATE,MODULE
R_CORE_TYPE,CORE,MODULE
R_CORE_SOLVENT,CORE,MODULE
R_CORE_SAMPLE_TYPE,CORE,MODULE
R_CORE_RECOVERY_TYPE,CORE,MODULE
R_CORE_HANDLING,CORE,MODULE
R_CORE_SHIFT_METHOD,CORE,MODULE
R_CORRECTION_METHOD,CORRECTION,MODULE
R_COUPLING_TYPE,COUPLING,MODULE
R_CREATOR_TYPE,CREATOR,MODULE
R_CS_TRANSFORM_PARM,COORDINATE SYSTEM,MODULE
R_CS_TRANSFORM_TYPE,COORDINATE SYSTEM,MODULE
R_CURVE_TYPE,CURVE,MODULE
R_CURVE_SCALE,CURVE,MODULE
R_CURVE_XREF_TYPE,CURVE,MODULE
R_CUSHION_TYPE,CUSHION,MODULE
R_CUTTING_FLUID,CUTTING,MODULE
R_DATA_CIRC_PROCESS,DATA,MODULE
R_DATA_STORE_TYPE,DATA,MODULE
R_DATA_CIRC_STATUS,DATA,MODULE
R_DATE_FORMAT_TYPE,DATE,MODULE
R_DATUM_ORIGIN,DATUM,MODULE
R_DECLINE_TYPE,DECLINE,MODULE
R_DECLINE_COND_TYPE,DECLINE,MODULE
R_DECLINE_COND_CODE,DECLINE,MODULE
R_DECLINE_CURVE_TYPE,DECLINE,MODULE
R_DECRYPT_TYPE,DECRYPT,MODULE
R_DEDUCT_TYPE,DEDUCT,MODULE
R_DIGITAL_FORMAT,DIGITAL,MODULE
R_DIGITAL_OUTPUT,DIGITAL,MODULE
R_DIR_SRVY_RECORD,DIRECTIONAL SURVEY,MODULE
R_DIR_SRVY_CLASS,DIRECTIONAL SURVEY,MODULE
R_DIR_SRVY_COMPUTE,DIRECTIONAL SURVEY,MODULE
R_DIR_SRVY_POINT_TYPE,DIRECTIONAL SURVEY,MODULE
R_DIR_SRVY_TYPE,DIRECTIONAL SURVEY,MODULE
R_DIST_REF_PT,DISTANCE,MODULE
R_DOC_STATUS,DOCUMENT,MODULE
R_DOCUMENT_TYPE,DOCUMENT,MODULE
R_DRILL_BIT_DETAIL_CODE,DRILLING,MODULE
R_DRILL_BIT_DETAIL_TYPE,DRILLING,MODULE
R_DRILL_BIT_JET_TYPE,DRILLING,MODULE
R_DRILL_BIT_TYPE,DRILLING,MODULE
R_DRILL_HOLE_POSITION,DRILLING,MODULE
R_DRILL_STAT_CODE,DRILLING,MODULE
R_DRILL_REPORT_TIME,DRILLING,MODULE
R_DRILL_BIT_CONDITION,DRILLING,MODULE
R_DRILL_ASSEMBLY_COMP,DRILLING,MODULE
R_DRILL_STAT_TYPE,DRILLING,MODULE
R_DRILL_TOOL_TYPE,DRILLING,MODULE
