table_name,comments
Z_WELL_WATER_ANALYSIS,WELL WATER ANALYSIS: The Well Water Analysis table contains information identifying the location and type of water sample obtained from the wellbore such as depth
Z_WELL_TOUR_OCCURRENCE,WELL TOUR OCCURRENCE: The Well Tour Occurrence table contains information about any noteworthy event taking place during the drilling tour.  The table can also describe problems encountered during the drilling operation.  Examples of drill  ing problems include
Z_WELL_OIL_VISCOSITY,WELL OIL VISCOSITY: The Well Oil Viscosity table contains information pertaining to the viscosity (the property of a substance to offer internal resistance to flow) of an oil sample obtained for an oil analysis.
Z_WELL_OIL_ANALYSIS,WELL OIL ANALYSIS: The Well Oil Analysis table contains information identifying the location and results of an oil sample obtained from a wellbore to determine the hydrocarbon composition of an oil analysis.
Z_WELL_GAS_ANAL_DETAIL,WELL GAS ANALYSIS DETAIL: The Well Gas Analysis Detail table contains the results of an analysis for the hydrocarbon composition of a normal gas sample
Z_WELL_GAS_ANALYSIS,WELL GAS ANALYSIS: The Well Gas Analysis table contains information identifying the location in a wellbore where a normal gas sample was obtained to determine the hydrocarbon composition from an gas analysis.
Z_WELL_EVENT,WELL EVENT: The Well Event table describes the type
Z_WELL_DRILL_STATUS,WELL DRILL STATUS: The Well Drilling Status table contains information about the current drilling status on an active well. Included are the drilling status (e.g.
Z_R_WELL_ACTIVITY_TYPE,REFERENCE WELL ACTIVITY TYPE: A reference table describing types of well activities commonly to describe a drilling status or particular operation being performed.  For example rigging up
Z_R_PROVINCE_STATE,REFERENCE PROVINCE STATE:  A reference table identifying valid states
Z_R_LAND_DISTRICT,R LAND DISTRICT:  the name of the district in which the land  rights agreement is located.
Z_R_GEOLOGIC_PROVINCE,GEOLOGIC PROVINCE: A distinct geographical areas with similargeographical features such as stratigraphy and structures and  where  numerous petroleum fields occur in a similar geological environment .The can be subdivided into subprovinces  or basins.
Z_R_GEOGRAPHIC_REGION,GEOGRAPHIC REGION: The unique identifier for a geographic region.
Z_R_DISTRICT,REFERENCE DISTRICT: The area designated as a district by a regulatory agency.  For example RR District 8A designated by the Texas Railroad Commission.
Z_R_COUNTY,REFERENCE COUNTY: A reference table identifying the primary geographicdivisionwithin a state or province.  For example Harris County in Texas
Z_R_COUNTRY,REFERENCE COUNTRY: A reference table identifying a division of land
Z_R_CITY,R CITY:  the name of a city.
Z_PDEN_WATER_ANAL_DTL,PRODUCTION WATER ANALYSIS DETAIL: Contains detailed information about  the composition and physical properties of a water sample being  analyzed.  Properties may consist of a concentration of dissolved  solids such as Sodium (Na)
Z_PDEN_WATER_ANALYSIS,PRODUCTION WATER ANALYSIS: Contains information identifying the  analysis of a normal water sample conducted to determine salinity
Z_PDEN_VOL_BY_MONTH,PRODUCTION ENTITY MONTHLY VOLUMES:  Monthly volumes reportedprocessed  as part of a specified activity for a specific fluid type  by a production reporting entity for a specific reporting year.
Z_PDEN_VOL_BY_DAY,PRODUCTION ENTITY DAILY VOLUMES:  Daily volumes reported processed as  part of a specified activity for a specific fluid type by a productionreporting entity for a specific reporting year and month.
Z_PDEN_OIL_VISCOSITY,PRODUCTION OIL VISCOSITY: Contains information pertaining to the  viscosity (the property of a substance to offer internal resistance to  flow) of an oil sample obtained for an oil analysis.
Z_PDEN_OIL_ANALYSIS,PDEN OIL ANALYSIS: The Well Oil Analysis table contains information  identifying the location and results of an oil sample obtained from a  PDEN to determine the hydrocarbon composition of an oil analysis.
Z_PDEN_GAS_ANAL_DETAIL,PRODUCTION GAS ANALYSIS DETAIL: Contains the results of an analysis  for the hydrocarbon composition of a normal gas sample
Z_PDEN_GAS_ANALYSIS,PRODUCTION GAS ANALYSIS: Contains information identifying the analysis  of a normal gas sample conducted to determine hydrocarbon  composition using gas analysis.
Z_FIELD_IN_COUNTY,FIELD IN COUNTY:  Identifies the counties that a field covers in full  or in part.
Z_CONT_PROV_STATE,CONTRACT PROVINCE/STATE:  a geographic region within a country
Z_CONT_DISTRICT,CONTRACT DISTRICT:  a jurisdiction related to a specified district
Z_CONT_COUNTY,CONTRACT COUNTY: a jurisdiction related to a specified county or  municipality.
ZONE,ZONE: The ZONE table contains the name of a zone described within a wellbore. A zone may be a regular or irregular belt
WORK_ORDER_XREF,WORK ORDER CROSS REFERENCE:  a cross refernce table capturing the relationships between work orders.  These relationships may be historical (work order replaces another)
WORK_ORDER_INST_COMP,WORK ORDER INSTRUCTION COMPONENT:  This table allows each compoonent of a work order to be explicitly associated with one or more instructions.
WORK_ORDER_INSTRUCTION,WORK ORDER INSTRUCTIONS:  This table captures all of the instructions provided with a work order
STRAT_COLUMN,STRAT COLUMN: an ordered sequence of STRAT UNITS which are  representative of the conceptual interpretation of local or regional  stratigraphy.  It may represent biostratigraphic
STRAT_ALIAS,STRATIGRAPHIC ALIAS:  An alternate or alias name or identifier for a  stratigraphic unit.  In PPDM
STRAT_ACQTN_METHOD,STRATIGRAPHIC ACQUISITION METHOD:  This table is used when it is  desirable to indicate how
SP_ZONE_SUBSTANCE,SPATIAL ZONE SUBSTANCE:  describes substances (and their related zone) which are specifically included or excluded from the spatial description.  For example
SP_ZONE_DEFIN_XREF,SPATIAL ZONE DEFINITION CROSS REFERENCE:  this table is used in the relatively uncommon case in which a zone definition is replaced by a new zone definition.  Usually
SP_ZONE_DEFINITION,SPATIAL ZONE DEFINITION:  describes the well
SP_POLYGON,SPATIAL POLYGON:  a polygon which describes the outline of an area.  Polygons may describe outlines offields
SP_POINT_VERSION,SPATIAL DESCRIPTION POINT  VERSION: Carries all the different coordinate values associated with a point which must  be kept permanently.  Point versions may be in alternate survey systems
SP_POINT,SPATIAL POINT:  a position for which a location must be permanently tracked.  WELL NODE: Definition of a well point projected to the Earths surface with its selected coordinate value.  SURFACE WELL NODE:  a surface well position which must be keptpermanently.  SUBSURFACE WELL NODE:  A subsurface wll location
SP_PARCEL_TEXAS,SPATIAL PARCEL TEXAS  LOCATION: an ennumerated list of the parcels included in the Texas Survey system.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL_REMARK,SPATIAL PARCEL REMARK:  remarks about the land parcel may be  stored here. Should not be used to include information contained in other parts of the model.
SP_PARCEL_PBL,SPATIAL PARCEL PUBLIC LAND BLOCK  LOCATION: an ennumerated list of the parcels included in the Public land block Survey system.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL_OHIO,SPATIAL PARCEL OHIO  LOCATION: an ennumerated list of the parcels included in the Ohio  Survey system.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL_OFFSHORE,SPATIAL PARCELOFFSHORE LOCATION: an ennumerated list of the parcels included in the Offshore Survey system.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL_NTS,SPATIAL PARCEL NATIONAL TOPOGRAPHIC SERIES: an ennumerated list of the parcels included in the NTS Survey system.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL_NORTH_SEA,SPATIAL PARCEL NORTH SEA LOCATION: an ennumerated list of the parcels included in the NORTH SEA  LOCATION Survey system.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL_NE_LOC,SPATIAL PARCEL NE LOCATION: an ennumerated list of the parcels included in the NE LOCATION Survey system.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL_M_B,SPATIAL  PARCEL MB:  This table is used to describe the metes and bounds summary of locations within a land parcel.  Land parcels themselves are selected from specific lists of parcel descriptions in the tables SP_PARCEL_XXX.
SP_PARCEL_LOT,SPATIAL PARCEL LOT:  The irregular divisions of land found in certain  survey systems
